timestamp,source_entity,destination_entity,source_port,destination_port,protocol,bytes,packets,duration,tcp_flags,syn_count,ack_count,iat_mean,bidirectional_ratio,failed_auth,ttl,tcp_window_size,fragment_flags,retransmission
2026-01-01T00:00:00.553Z,host-07,web-proxy,55055,443,6,1050,5,0.882,SYN ACK,1,4,0.0727,0.669,0,64,65535,16384,0
2026-01-01T00:00:07.804Z,host-02,file-server,40437,80,6,2114,13,0.397,SYN ACK,1,12,0.1137,0.589,0,64,64240,16384,0
2026-01-01T00:00:14.530Z,host-06,auth-service,44588,80,6,4422,26,1.124,SYN ACK,1,25,0.1117,0.631,0,64,65535,16384,0
2026-01-01T00:00:18.028Z,host-04,auth-service,43158,443,6,1154,22,0.405,SYN ACK,1,21,0.1192,0.659,0,64,65535,16384,0
2026-01-01T00:00:20.714Z,host-03,auth-service,48124,443,6,2672,21,0.93,SYN ACK,1,20,0.1041,0.689,0,64,64240,16384,1
2026-01-01T00:00:31.353Z,host-04,web-proxy,55730,8443,6,3408,24,0.985,SYN ACK,1,23,0.1195,0.555,0,64,8192,16384,0
2026-01-01T00:00:39.843Z,host-04,auth-service,47461,80,6,4120,28,0.953,SYN ACK,1,27,0.1338,0.519,0,64,8192,16384,0
2026-01-01T00:00:41.019Z,host-01,file-server,46003,443,6,1076,27,1.5,SYN ACK,1,26,0.1548,0.774,0,64,65535,16384,0
2026-01-01T00:00:49.477Z,host-02,web-proxy,51512,443,6,3751,21,1.02,SYN ACK,1,20,0.1019,0.718,0,64,64240,16384,0
2026-01-01T00:00:54.385Z,host-04,file-server,56433,443,6,4025,30,1.224,SYN ACK,1,29,0.1369,0.479,0,64,64240,16384,0
2026-01-01T00:01:07.581Z,host-03,file-server,44293,53,6,4671,10,0.642,SYN ACK,1,9,0.119,0.628,0,64,64240,16384,0
2026-01-01T00:01:18.478Z,host-04,web-proxy,42817,80,6,2506,19,0.966,SYN ACK,1,18,0.1001,0.776,0,64,64240,16384,1
2026-01-01T00:01:24.501Z,host-06,file-server,48022,8443,6,5752,28,0.768,SYN ACK,1,27,0.1342,0.797,0,64,8192,16384,0
2026-01-01T00:01:30.588Z,host-02,file-server,52949,443,6,3747,7,0.955,SYN ACK,1,6,0.126,0.53,0,64,8192,16384,0
2026-01-01T00:01:52.168Z,host-02,file-server,40903,8443,6,2844,10,1.415,SYN ACK,1,9,0.0662,0.562,0,64,65535,16384,0
2026-01-01T00:01:57.145Z,host-03,auth-service,48734,443,6,2614,29,0.754,SYN ACK,1,28,0.1308,0.603,0,64,8192,16384,0
2026-01-01T00:02:02.985Z,host-01,auth-service,48401,80,6,5426,15,0.843,SYN ACK,1,14,0.1069,0.923,0,64,8192,16384,1
2026-01-01T00:02:08.047Z,host-03,web-proxy,42899,443,6,931,20,0.904,SYN ACK,1,19,0.1119,0.851,0,64,64240,16384,0
2026-01-01T00:02:08.626Z,host-03,web-proxy,56123,80,6,4883,17,1.531,SYN ACK,1,16,0.0759,0.512,0,64,65535,16384,0
2026-01-01T00:02:21.915Z,host-01,file-server,54115,8443,6,2771,30,0.775,SYN ACK,1,29,0.1161,0.792,0,64,64240,16384,0
2026-01-01T00:02:23.582Z,host-08,web-proxy,54710,8443,6,5223,6,0.978,SYN ACK,1,5,0.1236,0.587,0,64,29200,16384,0
2026-01-01T00:02:27.307Z,host-08,web-proxy,58802,8443,6,4337,20,1.203,SYN ACK,1,19,0.0845,0.753,0,64,8192,16384,0
2026-01-01T00:02:34.878Z,host-01,auth-service,47823,53,6,5746,22,1.497,SYN ACK,1,21,0.077,0.675,0,64,65535,16384,0
2026-01-01T00:02:35.758Z,host-04,file-server,53014,53,6,3671,4,1.514,SYN ACK,1,3,0.0966,0.702,0,64,8192,16384,0
2026-01-01T00:02:37.085Z,host-01,web-proxy,54671,53,6,1403,22,1.143,SYN ACK,1,21,0.073,0.696,0,64,8192,16384,0
2026-01-01T00:02:43.419Z,host-04,auth-service,50274,8443,6,5615,29,1.167,SYN ACK,1,28,0.1297,0.632,0,64,65535,16384,0
2026-01-01T00:03:02.557Z,host-01,web-proxy,57131,8443,6,5318,13,0.292,SYN ACK,1,12,0.0994,0.477,0,64,64240,16384,0
2026-01-01T00:03:04.261Z,host-04,auth-service,43098,443,6,655,30,1.443,SYN ACK,1,29,0.0879,0.609,0,64,8192,16384,0
2026-01-01T00:03:06.650Z,host-02,file-server,46642,8443,6,5190,22,1.107,SYN ACK,1,21,0.1014,0.664,0,64,29200,16384,0
2026-01-01T00:03:06.652Z,host-03,auth-service,45740,443,6,4285,26,1.013,SYN ACK,1,25,0.0982,0.574,0,64,8192,16384,0
2026-01-01T00:03:06.691Z,host-05,auth-service,49619,443,6,2550,25,0.765,SYN ACK,1,24,0.0776,0.887,0,64,29200,16384,0
